gene,EntrezID,p_value,loading
HPCAL1,3241,0.045,-0.569623112678528
FABP5P3,220832,0.018,-0.569359004497528
C12orf75,0,0.007,-0.568965673446655
LINC02482,0,0.006,-0.56892865896225
PTBP2,58155,0.033,-0.568754613399506
CALB2,794,0.009,-0.568703353404999
ERLIN1,10613,0.03,-0.568556427955627
LYRM9,0,0.017,-0.568471670150757
IQCA1,79781,0.002,-0.568384647369385
SPTSSA,0,0.001,-0.568356394767761
ABHD17C,0,0.018,-0.568252682685852
RSPO4,343637,0.003,-0.567924499511719
ATOH7,220202,0.022,-0.567767739295959
GPRIN2,9721,0.036,-0.567765951156616
MOB3A,0,0.003,-0.567689716815948
RAE1,8480,0.011,-0.567534506320953
C2CD4C,0,0.051,-0.567469477653503
HCST,10870,0.014,-0.567274332046509
HSPA6,3310,0.001,-0.567215085029602
KBTBD6,89890,0.004,-0.566962897777557
PALM,5064,0.008,-0.566822648048401
SF3B3,23450,0.016,-0.566814243793488
HIST1H2BO,8348,0.002,-0.566731870174408
RHBDD2,57414,0.038,-0.566653788089752
GOLM1,51280,0.035,-0.566442906856537
LRP1B,53353,0.003,-0.566330909729004
SSSCA1,10534,0.025,-0.566199600696564
SREBF1,6720,0.001,-0.566193282604218
ANKLE2,23141,0.079,-0.566137433052063
FBXW9,84261,0.03,-0.565877258777618
CGREF1,10669,0.045,-0.565814614295959
ARHGAP28,79822,0.036,-0.565191388130188
FANCL,55120,0.042,-0.565140068531036
PPP4R4,57718,0.038,-0.565098941326141
KXD1,0,0.025,-0.56484454870224
POLR2L,5441,0.017,-0.564749598503113
MESP1,55897,0.033,-0.564572930335999
VASH1,22846,0.02,-0.564502954483032
FIP1L1,81608,0.063,-0.564502537250519
AHNAK,79026,0.001,-0.564073204994202
DCN,1634,0.001,-0.563961088657379
FAM189A2,0,0.006,-0.563623428344727
HIST1H2BI,8346,0.001,-0.563433587551117
ERC2,26059,0.043,-0.563422441482544
HMGN2P46,283651,0.003,-0.563333868980408
GABARAP,11337,0.001,-0.563165783882141
HCG23,0,0.002,-0.563156723976135
PXMP4,11264,0.015,-0.562633156776428
CYS1,192668,0.021,-0.562599360942841
ANOS1,0,0,-0.562585353851318
TUBB,203068,0.008,-0.562495827674866
EMID1,129080,0.023,-0.562472939491272
FNBP1L,54874,0.011,-0.562425196170807
FERMT2,0,0.004,-0.56236457824707
PLSCR4,57088,0.005,-0.562352776527405
RGMB,285704,0.038,-0.562287867069244
EFNA2,1943,0.002,-0.562192022800446
DPYD,1806,0.004,-0.562078595161438
ERFE,0,0.013,-0.562000751495361
IGF1,3479,0.047,-0.561857104301453
DYNLL1,8655,0.072,-0.561820566654205
LMO1,4004,0.02,-0.561675310134888
PSME1,5720,0.005,-0.561351418495178
TRAPPC2L,51693,0.043,-0.561117947101593
APAF1,317,0.011,-0.561092734336853
HERC5,51191,0.006,-0.5610072016716
PDZRN4,29951,0.043,-0.560886263847351
PLXNC1,10154,0.005,-0.560859799385071
BCRP2,0,0.007,-0.560497283935547
GEMIN8P4,492303,0,-0.560374677181244
SOWAHA,0,0.032,-0.560362875461578
CLBA1,0,0.012,-0.560308396816254
VAV1,7409,0.018,-0.560128331184387
FIBCD1,84929,0,-0.559985160827637
TCTEX1D2,255758,0.024,-0.559948205947876
TAGLN2,8407,0.001,-0.559924483299255
RPS18,6222,0.02,-0.559865832328796
RAD17,5884,0.023,-0.559855759143829
DNAJC3-AS1,100289274,0.001,-0.559774219989777
TNNI3,7137,0.029,-0.559532105922699
MED24,9862,0.015,-0.559429407119751
FAM218A,0,0.002,-0.559401333332062
BCLAF3,0,0.004,-0.55916303396225
PTCHD1,139411,0.023,-0.559119343757629
SUMF1,285362,0.041,-0.559058308601379
PDGFRA,5156,0.008,-0.559031188488007
MT1B,4490,0.013,-0.55889368057251
MRPS6,64968,0.006,-0.558884263038635
SNRPD3,6634,0.004,-0.558772623538971
NME3,4832,0.005,-0.55860847234726
FOLR2,2350,0.033,-0.558495163917542
KCTD4,386618,0.04,-0.558402895927429
ZFP36L2,678,0.003,-0.558338105678558
NR2C2AP,126382,0.012,-0.558335244655609
MAPK7,5598,0.013,-0.558164596557617
UBE2A,7319,0.003,-0.558121979236603
BSPRY,54836,0.075,-0.557762026786804
LAMA1,284217,0.029,-0.55762130022049
LOC390705,390705,0.002,-0.557471454143524
DLEC1,9940,0,-0.557444751262665
RASA4CP,401331,0.003,-0.55723363161087
ZZZ3,26009,0.002,-0.55720716714859
MCUB,0,0.08,-0.556940257549286
TXLNB,167838,0.014,-0.556875944137573
PGRMC1,10857,0.005,-0.556740581989288
SYT17,51760,0.023,-0.556736886501312
SSR4P1,728039,0.011,-0.556563436985016
GPD2,2820,0.008,-0.556548357009888
LYRM2,57226,0.01,-0.556367933750153
CAPG,822,0.005,-0.55627304315567
SLC44A2,57153,0.01,-0.555968880653381
ZNF286A,0,0.004,-0.555791258811951
KIAA1024,23251,0.094,-0.555777311325073
IGFBP5,3488,0.013,-0.555714309215546
RASAL1,8437,0.037,-0.555688440799713
B3GAT2,135152,0.001,-0.55548882484436
MACROD2,140733,0.014,-0.555430829524994
NAGK,55577,0.065,-0.555215239524841
C22orf23,84645,0.002,-0.555049538612366
RPS27,6232,0.005,-0.555026948451996
ZFHX3,0,0.023,-0.554919362068176
PLB1,151056,0.02,-0.554916858673096
CBFB,865,0.005,-0.554819405078888
DIRC2,84925,0,-0.554801285266876
CDH2,1000,0.005,-0.554474413394928
MXRA8,54587,0.003,-0.554376721382141
RILPL1,353116,0.004,-0.554370939731598
ACADL,33,0.016,-0.554328978061676
PARD3B,117583,0.004,-0.554237544536591
LDOC1,23641,0.004,-0.554187417030334
MLNR,2862,0.015,-0.553856253623962
ARHGEF26-AS1,0,0.002,-0.553744733333588
LOH12CR2,503693,0.005,-0.553507089614868
PPP1R1A,5502,0.034,-0.553406536579132
RIOX2,0,0.04,-0.55332612991333
HSP90B1,7184,0.051,-0.55321192741394
LOC100506271,0,0.012,-0.553192853927612
CALB1,793,0.034,-0.552803695201874
FAR2P2,0,0.027,-0.552724957466125
KIAA1328,57536,0.02,-0.552652180194855
ICE1,0,0.015,-0.552607119083405
NDUFB1,4707,0.009,-0.552421987056732
LINC00484,0,0.081,-0.552219569683075
TMEM47,83604,0.005,-0.552170693874359
ADGRG6,0,0,-0.552049338817596
AEBP1,165,0.065,-0.551932096481323
TMEM170A,124491,0,-0.551887154579163
GEMIN8,54960,0.001,-0.551669180393219
CNTN1,1272,0.071,-0.551166832447052
TAF10,6881,0.006,-0.551155686378479
OST4,0,0.008,-0.550979375839233
RRAGB,10325,0.006,-0.550915718078613
RAB23,51715,0.004,-0.550899744033813
WLS,0,0.02,-0.550857186317444
UFL1,0,0.001,-0.550813257694244
DOK1,1796,0.007,-0.55074280500412
NSG2,0,0.014,-0.550631999969482
SLC27A3,11000,0.062,-0.550584673881531
CPE,1363,0.007,-0.550437688827515
ASB5,140458,0.012,-0.550357520580292
ANO10,55129,0.003,-0.550355076789856
ZFP36L1,677,0.043,-0.550087034702301
RRP7BP,0,0.029,-0.550054967403412
JUN,3725,0.01,-0.549928784370422
MT1G,4495,0.012,-0.549922823905945
PCED1B,0,0.067,-0.549728512763977
TMOD3,29766,0.002,-0.549697637557983
ZDHHC12,84885,0.007,-0.549693822860718
SHISAL1,0,0.071,-0.549639582633972
NAV2,89797,0,-0.54956042766571
NEDD4L,23327,0.042,-0.549436926841736
SSBP4,170463,0.015,-0.549398899078369
SDK2,54549,0.028,-0.549396336078644
CEP83,0,0.012,-0.549377202987671
TTC7B,145567,0.002,-0.549225091934204
NAMPT,0,0.002,-0.549190819263458
PTCH1,5727,0.009,-0.549010753631592
HACD4,0,0.02,-0.549008250236511
IFT22,0,0.081,-0.548895180225372
RPA2,6118,0.018,-0.548830151557922
POLR3GL,84265,0.044,-0.548668026924133
TMEM43,79188,0.001,-0.548615276813507
WDR86,349136,0.039,-0.548578500747681
LYPD1,116372,0.013,-0.548294425010681
TBC1D24,57465,0.025,-0.548201441764832
DDN,23109,0.005,-0.547914505004883
SF3B6,0,0.008,-0.547775983810425
B3GALT6,126792,0.045,-0.547637522220612
PDLIM5,10611,0.001,-0.547513663768768
LOC202181,202181,0.014,-0.547440886497498
LRRC27,80313,0.009,-0.547389268875122
RBP4,5950,0.076,-0.547382116317749
MOB1B,0,0.042,-0.547319233417511
ZCCHC17,51538,0.011,-0.547073602676392
COL4A2,1284,0.002,-0.547063708305359
NYNRIN,0,0.004,-0.547033071517944
PIGQ,9091,0.044,-0.546920776367188
SHANK2,22941,0.011,-0.546672523021698
DCAF15,90379,0.033,-0.546648621559143
AKR7A2P1,246182,0.003,-0.546620070934296
LOC554206,554206,0.005,-0.546570003032684
CCDC191,0,0.001,-0.546414077281952
CHST9,83539,0.001,-0.54637748003006
RPAIN,84268,0.028,-0.54630434513092
ZBED6CL,0,0.001,-0.546040296554565
SPA17,53340,0.01,-0.54601263999939
THAP8,199745,0.013,-0.545879423618317
ACSM5,54988,0.007,-0.545769572257996
CTGF,1490,0.002,-0.545579135417938
C12orf73,728568,0.011,-0.545526087284088
GNG2,54331,0.016,-0.545483410358429
PAK3,0,0.035,-0.545143187046051
TNR,7143,0.004,-0.545097053050995
ADAP2,55803,0.014,-0.544968485832214
KCNN3,3782,0.011,-0.544843971729279
SLC39A12,221074,0.038,-0.544649481773376
TUBB8P12,0,0.057,-0.544606804847717
LOC100507516,0,0.007,-0.544579982757568
MMAA,166785,0.063,-0.544547617435455
HIST1H2BL,8340,0.002,-0.544375121593475
LRRC42,115353,0.031,-0.544365406036377
KLRG1,10219,0.021,-0.544266164302826
IL33,90865,0.011,-0.543941080570221
TMEM209,84928,0.001,-0.543549537658691
TSPOAP1,0,0.038,-0.54336017370224
RNF150,57484,0.03,-0.543343186378479
S100A10,6281,0.003,-0.543339252471924
GNB2,2783,0.056,-0.543291032314301
RPS20,6224,0.012,-0.543200194835663
TMEFF2,23671,0.06,-0.543082892894745
TUBB6,0,0.068,-0.542906582355499
CREG1,8804,0.04,-0.542864859104156
DRAIC,0,0.02,-0.542686402797699
GRAMD4,23151,0.004,-0.542673110961914
ANXA11,311,0.016,-0.54265308380127
WFS1,7466,0.012,-0.542493104934692
TMEM18,129787,0.028,-0.542361497879028
ARL16,339231,0.021,-0.541953027248383
PIWIL4,143689,0.011,-0.541919946670532
MT1E,4493,0.02,-0.541887581348419
SLIT3,6586,0.002,-0.541716456413269
OPHN1,4983,0.003,-0.541671335697174
C16orf74,404550,0.011,-0.541619837284088
HSPB11,51668,0.021,-0.541489541530609
UTP11,0,0.003,-0.541263401508331
NPDC1,56654,0.037,-0.541080713272095
TBCA,6902,0.034,-0.541062951087952
ADGRG1,0,0.015,-0.540989935398102
TXN,7295,0.036,-0.540845394134521
PTPRF,5792,0.029,-0.540841162204742
PNMA8A,0,0.045,-0.540746688842773
ARMC10,83787,0.077,-0.540615737438202
RASGEF1C,255426,0.117,-0.540605247020721
RAB11FIP4,84440,0.002,-0.540459394454956
TCTE1,202500,0.002,-0.540214121341705
RUNX1T1,862,0.048,-0.540181815624237
MEIS2,4212,0.001,-0.540160179138184
OGG1,4968,0.012,-0.54013055562973
MAP3K5,4217,0.009,-0.539993524551392
PLAC9,219348,0.018,-0.53990763425827
NPM3,10360,0.029,-0.539867043495178
MT1L,4500,0.009,-0.539689421653748
FNDC3A,22862,0.001,-0.539678812026978
TMEM238,388564,0.004,-0.539660811424255
CYP2R1,120227,0.003,-0.539657950401306
CD200,4345,0.048,-0.539179146289825
RARRES3,5920,0.005,-0.539157748222351
LOC100507351,0,0.046,-0.539055109024048
DYRK3,8444,0.084,-0.538923382759094
PKNOX1,5316,0.03,-0.538898646831512
GET4,0,0.012,-0.538750827312469
MSANTD1,345222,0.08,-0.538704454898834
NUDT11,55190,0.045,-0.538431942462921
FLRT1,23769,0.016,-0.538343906402588
GRIK3,2899,0.039,-0.538247466087341
CDC42,998,0.014,-0.537825465202332
RPL39,6170,0.007,-0.537565052509308
KRT17,3872,0.018,-0.53746086359024
LIX1L,128077,0.005,-0.537320554256439
RPL8,6132,0.027,-0.537237584590912
ROBO1,6091,0.039,-0.537227392196655
EDN1,1906,0.055,-0.537015974521637
FAM129B,64855,0.003,-0.536974906921387
COPRS,0,0.091,-0.536682963371277
AP3S1,1176,0.031,-0.536439836025238
NMT1,4836,0.075,-0.53636622428894
SLC8A3,6547,0.006,-0.53627747297287
TMEM233,0,0.018,-0.536257803440094
CHMP2A,27243,0.056,-0.536173641681671
PAXBP1-AS1,0,0.006,-0.536023736000061
GPSM1,26086,0.005,-0.536005914211273
AMZ2P1,201283,0.028,-0.535858452320099
CCL28,56477,0.02,-0.535687983036041
LOC728989,0,0.003,-0.535672247409821
SLC1A4,6509,0.009,-0.535563349723816
ACTR3B,57180,0.047,-0.535459518432617
SRD5A3,79644,0.016,-0.535192608833313
ENY2,56943,0.003,-0.5351522564888
HDC,3067,0.086,-0.53515088558197
GABRB3,2562,0.033,-0.535041868686676
FAM122C,159091,0.002,-0.535040974617004
MFSD14A,0,0.001,-0.534911930561066
DR1,1810,0.01,-0.534622430801392
MAF,4094,0.006,-0.534383356571198
NDUFA6-AS1,0,0.004,-0.534375965595245
MAPK1,5594,0.027,-0.534292042255402
KRT86,3892,0.068,-0.534253597259521
TIMM8B,26521,0.062,-0.534172832965851
C2orf80,389073,0.028,-0.534172415733337
THRA,7067,0.025,-0.533937454223633
AHRR,0,0.014,-0.533904492855072
DPYSL4,10570,0.044,-0.533747732639313
ZNF331,55422,0.006,-0.533728063106537
TOMM6,100188893,0.064,-0.533712863922119
CCR5,1234,0.032,-0.533656597137451
SLC16A9,220963,0.022,-0.533430576324463
NFKBIE,4794,0.101,-0.533367455005646
DBX2,440097,0.061,-0.533315718173981
IL34,146433,0.023,-0.533276438713074
MYCN,4613,0.003,-0.533218324184418
TSPAN2,10100,0.067,-0.533175945281982
ACCS,84680,0.001,-0.53301340341568
BRWD1,54014,0.059,-0.532861471176147
APOM,55937,0.028,-0.532573044300079
SAMD9L,219285,0.008,-0.53256618976593
DNAH12,201625,0.002,-0.532296299934387
CAPZB,832,0.005,-0.532157003879547
RNF181,51255,0.053,-0.531978249549866
GLG1,2734,0.014,-0.531929552555084
SAMD15,161394,0.014,-0.531918585300446
C1orf50,79078,0.06,-0.53186696767807
ADRB2,154,0.057,-0.531718790531158
SEC14L2,23541,0.007,-0.531485378742218
LOC101927420,0,0.068,-0.531404495239258
EEF1G,1937,0.005,-0.531324982643127
APOE,348,0.011,-0.531257212162018
CDC16,8881,0.022,-0.530926465988159
GLUD1,2746,0.005,-0.530902743339539
PSIP1,11168,0.034,-0.53081089258194
EXOC3-AS1,0,0.021,-0.53075098991394
PTN,5764,0.006,-0.530376553535461
MED16,10025,0.087,-0.530311167240143
PLCB2,5330,0.022,-0.5301553606987
CEP112,0,0.001,-0.530090928077698
COG1,9382,0.019,-0.529960632324219
NUS1,116150,0.026,-0.529768884181976
SIX3,6496,0.045,-0.529724180698395
MAPK8IP1,9479,0.004,-0.529647469520569
LINC00909,0,0.016,-0.529257774353027
SLN,6588,0.073,-0.529139459133148
PDE4DIP,9659,0.006,-0.528977811336517
UG0898H09,643763,0.025,-0.528936207294464
POLE4,56655,0.053,-0.52888023853302
NIT2,56954,0.022,-0.528724312782288
NABP1,0,0.036,-0.528642475605011
C12orf45,121053,0.06,-0.528485834598541
ELOB,0,0.047,-0.528448224067688
SPARC,6678,0.011,-0.528408408164978
TMEM94,0,0.004,-0.528265297412872
PCBD1,5092,0.128,-0.52825665473938
HIST1H2AD,3013,0,-0.52804297208786
TG,7038,0.027,-0.528000712394714
SHC1,6464,0.046,-0.527984619140625
LOC105376064,0,0.013,-0.527780055999756
UQCR11,10975,0.027,-0.527604460716248
ALG1L,200810,0.036,-0.527542769908905
TM2D3,80213,0.1,-0.527539432048798
ABHD1,84696,0.019,-0.527312040328979
LOC100129291,100129291,0.048,-0.527303695678711
MDGA1,266727,0.133,-0.527156352996826
TMEM107,84314,0.03,-0.527152359485626
DPM2,8818,0.042,-0.526932954788208
ZMYM3,9203,0.013,-0.526915550231934
RAET1E-AS1,0,0.032,-0.526652812957764
HLA-H,3136,0,-0.526561617851257
DENND6B,0,0.023,-0.526508033275604
MRPS33,51650,0.006,-0.526393413543701
ZNF572,137209,0.012,-0.526376187801361
RPN2,6185,0.004,-0.526308178901672
SLC3A2,6520,0.009,-0.526224613189697
P3H2,0,0.003,-0.526098430156708
TIMP3,7078,0.001,-0.526065289974213
HMGCR,3156,0.062,-0.526000440120697
SFMBT2,57713,0.028,-0.525848984718323
MFSD10,10227,0.011,-0.525816202163696
FAM241A,0,0.001,-0.525761604309082
ICAM5,7087,0.023,-0.525566577911377
B3GAT1,27087,0.023,-0.525510311126709
RPL19,0,0.006,-0.525278151035309
NCAM1,4684,0.008,-0.525040149688721
SSR4,6748,0.08,-0.525017261505127
SOWAHC,0,0,-0.524935305118561
PGLS,25796,0.01,-0.524736762046814
TMEM208,29100,0.065,-0.524603843688965
MBOAT7,0,0.03,-0.524441480636597
PDLIM3,27295,0.03,-0.524337470531464
C2CD2L,9854,0.038,-0.524149715900421
NXN,64359,0.012,-0.524054646492004
PDIA3,2923,0.006,-0.523801803588867
SAP30BP,29115,0.009,-0.523753881454468
ZNF575,284346,0.015,-0.523690521717072
SEMA4F,10505,0.031,-0.52363395690918
TSPAN6,7105,0.008,-0.523477494716644
RAB27B,5874,0.033,-0.523427605628967
ST5,6764,0.033,-0.523401319980621
PYCR3,0,0.031,-0.523389399051666
STK32C,282974,0.106,-0.52334988117218
SLBP,7884,0.034,-0.523339748382568
TNFAIP2,7127,0.011,-0.523261964321136
PDGFB,5155,0.007,-0.52322518825531
NSMCE1,197370,0.041,-0.523189902305603
TIMM13,26517,0.085,-0.523024380207062
CIB1,10519,0.147,-0.522899568080902
C11orf1,64776,0.011,-0.522862315177917
STX12,23673,0.113,-0.522675156593323
ACVR2B,93,0.024,-0.522396504878998
ZNRF3,84133,0,-0.522372543811798
SPRYD4,283377,0.001,-0.522056400775909
C1orf226,400793,0.012,-0.521680057048798
C1R,715,0.043,-0.521667122840881
CFAP70,0,0.005,-0.521632969379425
GSS,2937,0.083,-0.521596491336823
HBG1,3047,0.027,-0.521316230297089
USP12,219333,0.173,-0.521017670631409
PIFO,0,0.041,-0.520990788936615
HSBP1,3281,0.038,-0.520813584327698
ASH1L-AS1,0,0.021,-0.520626246929169
HTR7,3363,0.135,-0.520571053028107
NDUFAF8,0,0.051,-0.520450234413147
ZFAND3,60685,0.001,-0.520274639129639
EXOC6,54536,0.067,-0.52018016576767
P4HA2,8974,0.001,-0.520053923130035
TMEM42,131616,0.054,-0.520046472549438
CACNA2D1,781,0.009,-0.519677937030792
ASMTL,8623,0.068,-0.519632279872894
PYCARD,29108,0.008,-0.519621014595032
STYK1,55359,0.064,-0.519300162792206
BPHL,670,0.014,-0.519044101238251
PID1,55022,0.033,-0.519018352031708
MORN4,118812,0.052,-0.51895672082901
C11orf71,54494,0.001,-0.518945157527924
LINC00886,0,0.001,-0.518896281719208
PRICKLE2,166336,0.062,-0.518796980381012
TCF7L1,83439,0.008,-0.518688857555389
RMI2,0,0.048,-0.518610775470734
CETN2,1069,0.077,-0.518568992614746
MT1X,4501,0.037,-0.518515348434448
GABBR1,2550,0.061,-0.518127739429474
CCDC167,0,0.099,-0.518093228340149
S100Z,170591,0.048,-0.518060445785522
CEBPA,1050,0.064,-0.518044650554657
EFNB1,1947,0.003,-0.517945885658264
MT2A,4502,0.009,-0.51775074005127
CCIN,881,0.01,-0.517588794231415
PLAC9P1,0,0.013,-0.517501533031464
PCDH18,54510,0.013,-0.51744556427002
PRSS23,167681,0.055,-0.517268776893616
NPB,256933,0.021,-0.517213404178619
UQCC3,0,0.058,-0.517145693302155
KRBOX4,0,0.009,-0.517068088054657
GGCT,79017,0.068,-0.517011523246765
TAF9B,51616,0.003,-0.516983866691589
JPT1,0,0.028,-0.516646802425385
WSCD1,23302,0.002,-0.516218185424805
RYBP,23429,0.046,-0.516216516494751
DOK6,220164,0.055,-0.516189515590668
KCNA4,3739,0.078,-0.516181528568268
LRRTM2,26045,0.003,-0.516046941280365
C1QL1,389941,0.034,-0.516033053398132
APCDD1,147495,0.017,-0.515882551670074
NXPH1,30010,0.068,-0.515805542469025
AP2B1,163,0.015,-0.515540719032288
NUDT17,200035,0.004,-0.51544064283371
DDX54,79039,0.075,-0.515343070030212
ZNF83,55769,0.002,-0.51530921459198
PDE3A,5139,0.015,-0.515259861946106
FOLR1,2348,0.004,-0.515177011489868
CSTB,1476,0.023,-0.515174865722656
ADGRV1,0,0.008,-0.515036582946777
ARFGEF3,0,0.034,-0.515004456043243
TMEM130,222865,0.055,-0.514820456504822
SRP14,6727,0.009,-0.514710009098053
RHOC,389,0.003,-0.51469898223877
WDR54,84058,0.068,-0.514697134494781
ELP4,26610,0,-0.514487624168396
PUSL1,126789,0.027,-0.514483034610748
PRPH2,5961,0.062,-0.514402747154236
ITGB7,3695,0.031,-0.514317452907562
CYB5R1,51706,0.089,-0.514232516288757
SPICE1,0,0.085,-0.513977944850922
CBLN1,869,0.084,-0.513861060142517
RPLP1,6176,0.02,-0.513855874538422
NSUN6,221078,0.033,-0.513800859451294
ARHGAP18,93663,0.009,-0.513763010501862
01-Mar,0,0.095,-0.513168454170227
SEMA3C,10512,0.011,-0.513134479522705
LCN12,286256,0.008,-0.512965083122253
RFC5,5985,0.008,-0.512896656990051
TBCB,1155,0.073,-0.512867450714111
NKAIN3,286183,0.021,-0.512857854366302
FAM151B,167555,0.007,-0.512810945510864
MPV17L2,84769,0.067,-0.512706160545349
KCNA5,3741,0.147,-0.512631297111511
NLE1,54475,0.075,-0.51252555847168
KIAA0319,9856,0.012,-0.512500166893005
MANF,0,0.167,-0.512371897697449
CNN3,1266,0.015,-0.512291967868805
VSIG4,11326,0.041,-0.512217998504639
PON2,5445,0.017,-0.512126624584198
IPO5P1,0,0.034,-0.512119889259338
FCGR2A,2212,0.002,-0.512071788311005
UBE2J1,51465,0.001,-0.511834859848022
DUS4L,11062,0.014,-0.511811196804047
WRB,7485,0.02,-0.511723637580872
BCL7C,9274,0.047,-0.511712372303009
ZNF185,7739,0,-0.511709690093994
LINC01485,0,0.061,-0.511595785617828
GALNT10,55568,0.004,-0.511566936969757
ISG15,9636,0.064,-0.511556267738342
CRNKL1,51340,0.018,-0.511506974697113
KIF2A,3796,0.06,-0.511479377746582
TMEM128,85013,0.017,-0.511381506919861
AGA,175,0.028,-0.511380255222321
C6orf52,347744,0.026,-0.511327683925629
ADAMTS9,56999,0.108,-0.511286318302155
RSPH1,89765,0.04,-0.511076390743256
HRK,8739,0.077,-0.510984122753143
CLCC1,23155,0.003,-0.510952889919281
LAMTOR4,0,0.117,-0.510784983634949
CYHR1,50626,0.078,-0.510737597942352
CASP1,834,0.028,-0.510718405246735
ANKDD1A,348094,0.001,-0.510702908039093
TRIM8,81603,0.001,-0.510474622249603
BLCAP,10904,0.031,-0.510343551635742
C21orf2,755,0.088,-0.510026752948761
CDH4,1002,0.044,-0.510019779205322
CORO1A,11151,0.08,-0.509834766387939
DTNBP1,84062,0.057,-0.509756147861481
ARHGEF40,0,0.014,-0.509752094745636
APOPT1,84334,0.015,-0.509595572948456
PITPNM2,57605,0.03,-0.509491980075836
GLRA3,8001,0.051,-0.509417593479156
RAB10,10890,0.031,-0.509399116039276
MORC4,79710,0.001,-0.509391725063324
RXYLT1,0,0.018,-0.509242355823517
RABAC1,10567,0.025,-0.509229898452759
KIAA1147,57189,0.005,-0.509140133857727
LRMDA,0,0.016,-0.509124577045441
YWHAQ,10971,0.007,-0.509093582630157
DAAM1,23002,0.004,-0.508940935134888
ACTR10,55860,0.095,-0.50887393951416
LARGE1,0,0.018,-0.508856534957886
ME1,4199,0.117,-0.508758127689362
RPL10A,4736,0.03,-0.508701026439667
RPL29,6159,0.051,-0.508671402931213
MS4A4A,51338,0.048,-0.508457183837891
MPEG1,219972,0.011,-0.508383870124817
DIAPH2,1730,0.015,-0.508222818374634
LIMD2,80774,0.012,-0.508173704147339
RRAGD,58528,0.03,-0.508141756057739
CYB5D2,124936,0.09,-0.50808185338974
COLCA1,0,0.008,-0.508052825927734
PDGFRL,5157,0.031,-0.508025765419006
FAM229B,0,0.104,-0.507982909679413
NUDT2,318,0.089,-0.507963299751282
DUSP23,54935,0.008,-0.507903933525085
NWD2,0,0.06,-0.507886350154877
EDNRB,1910,0.021,-0.507877945899963
MAGED1,9500,0.08,-0.507856369018555
MRAS,22808,0.059,-0.507825016975403
GLUD2,2747,0.009,-0.507735788822174
KANK1,23189,0.005,-0.507552921772003
CXCR4,7852,0.034,-0.5074103474617
ZNF449,203523,0.01,-0.50731098651886
FCHSD2,9873,0.014,-0.507270216941833
LOC100288911,100288911,0.072,-0.507240116596222
CDH9,1007,0.058,-0.507143795490265
MYL6B,0,0.035,-0.506795883178711
CYP26A1,1592,0.194,-0.506319880485535
CARD17,440068,0.059,-0.506300747394562
PCDH15,65217,0.011,-0.505754768848419
CPNE3,8895,0.007,-0.505748748779297
TMEM256,0,0.08,-0.505644142627716
AZIN1-AS1,0,0.037,-0.505612134933472
MBOAT2,129642,0.033,-0.505422234535217
ATP2C2,9914,0.073,-0.505297303199768
GAMT,2593,0.028,-0.505257666110992
UBE2Q1,55585,0.016,-0.505218267440796
KLHL1,57626,0.012,-0.504770278930664
RXRA,6256,0.014,-0.504706144332886
CDH10,1008,0.142,-0.504667222499847
DCHS1,8642,0.014,-0.504643380641937
11-Sep,0,0.007,-0.504469275474548
B3GNT4,79369,0.015,-0.504358649253845
ERMARD,0,0.003,-0.504164040088654
SLC2A13,114134,0.017,-0.504118919372559
TRAPPC6A,79090,0.081,-0.504116177558899
PHLDB3,653583,0.003,-0.503961443901062
MR1,3140,0.026,-0.503857374191284
MATN2,4147,0.065,-0.503829181194305
ANXA2,302,0,-0.503823220729828
C1orf220,0,0.018,-0.503339886665344
CDH11,1009,0.089,-0.503338873386383
CNPY2,10330,0.008,-0.503337621688843
HIST1H2AM,8336,0.001,-0.503324389457703
NENF,29937,0.017,-0.50283944606781
C11orf80,79703,0.006,-0.50245475769043
SRM,6723,0.05,-0.502426266670227
ADAM28,10863,0.03,-0.502394080162048
PDGFC,56034,0.063,-0.502325236797333
SLC52A2,0,0.005,-0.502160489559174
PLPP5,0,0.01,-0.50211775302887
TMPRSS5,80975,0.005,-0.501936256885529
MASP1,5648,0.002,-0.501520991325378
PRAF2,11230,0.099,-0.501499235630035
ITPRIPL2,162073,0.012,-0.501479804515839
SMAD3,4088,0.062,-0.501477241516113
TSPAN33,340348,0.156,-0.501470744609833
SCG2,7857,0.009,-0.501307606697083
CTBS,1486,0.038,-0.50114768743515
GPR68,8111,0.154,-0.501141428947449
PDIA3P1,0,0.019,-0.501086711883545
USP51,158880,0.009,-0.5010746717453
DDX25,29118,0.086,-0.501061081886292
BRMS1L,84312,0.069,-0.501031756401062
AVIL,10677,0.029,-0.500993072986603
SMO,6608,0.004,-0.500907421112061
RPL37,6167,0.007,-0.500828802585602
NWD1,284434,0.027,-0.500811398029327
BDNF,627,0.024,-0.500784397125244
LSM4,25804,0.088,-0.500719964504242
MOV10,4343,0.005,-0.500602662563324
CMIP,0,0.003,-0.500541746616364
HIST1H2BF,8343,0.003,-0.500513434410095
PPP1R42,0,0.004,-0.500218987464905
USP9X,8239,0.031,-0.500199973583221
CRELD2,79174,0.028,-0.500183284282684
PLPP4,0,0.011,-0.500057339668274
KDM1B,0,0.006,-0.499966323375702
NFIA,4774,0.026,-0.499872118234634
LOC644936,0,0.098,-0.499654918909073
PTBP3,0,0.06,-0.499650985002518
